# Input file for fr-burgers-turbulent.py program
N                   -1 # Number of mesh points
NX                  11 # Number of mesh points in X
NY                  11 # Number of mesh points in Y
NREF                 0 # Number of refinement levels of the mesh
P                    2 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.010000 # Viscosity
INISOL    TAYLOR_GREEN # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000100 # Time step
TSIM          0.100000 # Maximum number of iterations
NDUMP              500 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                   FALSE

BEGIN_SOLUTION
0.000000000000000e+00 0.000000000000000e+00 1.254814153833425e-01 -3.954106751469311e-02
8.000000000000000e-01 3.000000000000000e-01 4.328934510741244e-01 6.287855172044123e-01

8.000000000000000e-01 2.000000000000000e-01 5.200447071958351e-01 4.109579519007924e-01

8.500000000000001e-01 2.000000000000000e-01 4.013526883414217e-01 4.845753512690097e-01

9.000000000000000e-01 2.000000000000000e-01 2.519094288308411e-01 4.713746837831521e-01

8.000000000000000e-01 2.500000000000000e-01 4.719913433470215e-01 4.991032502653150e-01

8.500000000000001e-01 2.500000000000000e-01 3.670576601841381e-01 5.875364591949769e-01

9.000000000000000e-01 2.500000000000000e-01 2.288316292780627e-01 5.721519967792962e-01

8.000000000000000e-01 3.000000000000000e-01 4.241895999348077e-01 5.742989181948801e-01

8.500000000000001e-01 3.000000000000000e-01 3.347079589755962e-01 6.763728938588980e-01

9.000000000000000e-01 3.000000000000000e-01 2.080476871004394e-01 6.547928025155807e-01

9.000000000000000e-01 2.000000000000000e-01 2.711060461966692e-01 5.350809914990455e-01

9.500000000000000e-01 2.000000000000000e-01 1.507514650594099e-01 5.667253562907409e-01

1.000000000000000e+00 2.000000000000000e-01 5.190731016569715e-02 6.861038437758947e-01

9.000000000000000e-01 2.500000000000000e-01 2.516569793949184e-01 6.519172108575044e-01

9.500000000000000e-01 2.500000000000000e-01 1.403534829285958e-01 6.865609589369167e-01

1.000000000000000e+00 2.500000000000000e-01 5.161372219130820e-02 8.345388346841385e-01

9.000000000000000e-01 3.000000000000000e-01 2.345385497486953e-01 7.562815178482157e-01

9.500000000000000e-01 3.000000000000000e-01 1.310437212897533e-01 7.899562199606062e-01

1.000000000000000e+00 3.000000000000000e-01 5.358245136267935e-02 9.685819182073592e-01

0.000000000000000e+00 3.000000000000000e-01 6.955836126562645e-02 -5.912302235416331e-01

5.000000000000000e-02 3.000000000000000e-01 6.582981216211718e-02 -8.078484187845613e-01

1.000000000000000e-01 3.000000000000000e-01 1.443824473976535e-01 -6.639447443155591e-01

0.000000000000000e+00 3.500000000000000e-01 4.296189510924686e-02 -7.432408698430996e-01

5.000000000000000e-02 3.500000000000000e-01 3.406047763775021e-02 -9.014858757437956e-01

1.000000000000000e-01 3.500000000000000e-01 7.769436190671195e-02 -7.928389213198800e-01

0.000000000000000e+00 4.000000000000000e-01 1.302798673870405e-02 -8.949499281026498e-01

5.000000000000000e-02 4.000000000000000e-01 -3.178839176720261e-03 -9.719649014247048e-01

