# Input file for fr-burgers-turbulent.py program
N                  160 # Number of mesh points
NREF                 0 # Number of refinement levels of the mesh
P                    3 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.000080 # Viscosity
INISOL       TURBULENT # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000050 # Time step
TSIM          0.500000 # Maximum number of iterations
NDUMP               10 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                    TRUE
SGS_MODEL_TYPE  smagorinsky_dynamic
SGS_FILTER_RATIO            2.00
SGS_AVG_TYPE             global
SGS_CS_MIN               0.0100

BEGIN_SOLUTION
6.432477559889940e-01 1.001385324062902e+00
6.460604201116351e-01 9.998035647457275e-01
6.477987421383649e-01 9.995160137547973e-01
6.477987421383649e-01 9.995671017824189e-01
6.495370641650946e-01 1.000214001148505e+00
6.523497282877357e-01 1.003032275150205e+00
6.540880503144655e-01 1.004222698155093e+00
6.540880503144655e-01 1.004326699515382e+00
6.558263723411952e-01 1.003915119788356e+00
6.586390364638364e-01 1.002322769205582e+00
6.603773584905661e-01 1.001989465709711e+00
6.603773584905661e-01 1.002018978014052e+00
6.621156805172959e-01 1.002340448286306e+00
6.649283446399370e-01 1.003988805808903e+00
6.666666666666667e-01 1.005675676790285e+00
6.666666666666667e-01 1.005429083368029e+00
6.684049886933965e-01 1.007296171096428e+00
6.712176528160376e-01 1.006718909589802e+00
6.729559748427674e-01 1.005271731241171e+00
6.729559748427674e-01 1.005295964840928e+00
6.746942968694971e-01 1.004837800659994e+00
6.775069609921383e-01 1.006598706581364e+00
6.792452830188680e-01 1.007421912393175e+00
6.792452830188680e-01 1.007461427984978e+00
6.809836050455977e-01 1.007049779207884e+00
6.837962691682389e-01 1.005094270302296e+00
6.855345911949686e-01 1.003743115149448e+00
6.855345911949686e-01 1.003818724625579e+00
6.872729132216984e-01 1.002616765109761e+00
6.900855773443395e-01 1.001913709246712e+00
6.918238993710693e-01 1.001841997817821e+00
6.918238993710693e-01 1.001798678668605e+00
6.935622213977990e-01 1.001324592902986e+00
6.963748855204401e-01 9.994841959493977e-01
6.981132075471699e-01 9.991401704243564e-01
6.981132075471699e-01 9.990194280398396e-01
6.998515295738996e-01 1.000258867271021e+00
7.026641936965408e-01 1.002658484552809e+00
7.044025157232705e-01 1.003285261090039e+00
7.044025157232705e-01 1.003338558497474e+00
7.061408377500002e-01 1.003218077628244e+00
7.089535018726414e-01 1.002973308259063e+00
7.106918238993711e-01 1.002767731611318e+00
7.106918238993711e-01 1.002741723250020e+00
7.124301459261009e-01 1.002346992930665e+00
7.152428100487420e-01 1.001079451895291e+00
7.169811320754718e-01 1.000131663216396e+00
7.169811320754718e-01 1.000224219212492e+00
7.187194541022015e-01 9.994565485287629e-01
7.215321182248426e-01 1.000222402833670e+00
7.232704402515724e-01 1.001577477438500e+00
7.232704402515724e-01 1.001594582250924e+00
7.250087622783021e-01 1.002972212428145e+00
7.278214264009433e-01 1.004864636683529e+00
7.295597484276730e-01 1.005782493617603e+00
7.295597484276730e-01 1.005759330862615e+00
7.312980704544028e-01 1.006299606523299e+00
7.341107345770439e-01 1.005772410623572e+00
7.358490566037736e-01 1.004781571864849e+00
7.358490566037736e-01 1.004838224398640e+00
7.375873786305034e-01 1.003494154152072e+00
7.404000427531445e-01 1.002093940550932e+00
7.421383647798743e-01 1.002374320826898e+00
7.421383647798743e-01 1.002202046197886e+00
7.438766868066040e-01 1.003406686781580e+00
7.466893509292452e-01 1.003987519570651e+00
7.484276729559749e-01 1.003679906715236e+00
7.484276729559749e-01 1.003601238877619e+00
7.501659949827046e-01 1.003709390985728e+00
7.529786591053458e-01 1.003681040425607e+00
7.547169811320755e-01 1.002604985863973e+00
7.547169811320755e-01 1.002843580567677e+00
7.564553031588053e-01 1.000953927684927e+00
7.592679672814464e-01 1.000880498088978e+00
7.610062893081762e-01 1.002231484171696e+00
7.610062893081762e-01 1.002120702444919e+00
7.627446113349059e-01 1.003230817903180e+00
7.655572754575470e-01 1.002248063717331e+00
7.672955974842768e-01 1.000937696858593e+00
7.672955974842768e-01 1.000941195685177e+00
7.690339195110065e-01 1.000145973876471e+00
7.718465836336477e-01 1.000431266985164e+00
7.735849056603774e-01 1.001375920463886e+00
7.735849056603774e-01 1.001451398143951e+00
7.753232276871072e-01 1.002886439609625e+00
7.781358918097483e-01 1.006387017867211e+00
7.798742138364780e-01 1.007934439210246e+00
7.798742138364780e-01 1.007895573752194e+00
7.816125358632078e-01 1.007757790948182e+00
