# Input file for fr-burgers-turbulent.py program
N                  160 # Number of mesh points
NREF                 0 # Number of refinement levels of the mesh
P                    3 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.000080 # Viscosity
INISOL       TURBULENT # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000050 # Time step
TSIM          0.500000 # Maximum number of iterations
NDUMP               10 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                   FALSE

BEGIN_SOLUTION
3.190163949544024e-01 1.006473872041983e+00
3.207547169811321e-01 1.005705700759056e+00
3.207547169811321e-01 1.005686691930707e+00
3.224930390078618e-01 1.004549701176620e+00
3.253057031305031e-01 1.001826248122597e+00
3.270440251572327e-01 9.997987178794289e-01
3.270440251572327e-01 9.998322987838586e-01
3.287823471839624e-01 9.977804678944193e-01
3.315950113066037e-01 9.954241067803256e-01
3.333333333333334e-01 9.947918209282715e-01
3.333333333333334e-01 9.947807217537440e-01
3.350716553600631e-01 9.947634515528246e-01
3.378843194827043e-01 9.952941134286603e-01
3.396226415094340e-01 9.955429300804348e-01
3.396226415094340e-01 9.955311508362623e-01
3.413609635361637e-01 9.954859573077212e-01
3.441736276588049e-01 9.946701947065040e-01
3.459119496855346e-01 9.938824989264192e-01
3.459119496855346e-01 9.938929087190659e-01
3.476502717122643e-01 9.930591969720393e-01
3.504629358349056e-01 9.919078009718144e-01
3.522012578616353e-01 9.913066342641867e-01
3.522012578616353e-01 9.913126771893648e-01
3.539395798883649e-01 9.907459004621997e-01
3.567522440110062e-01 9.899585997330306e-01
3.584905660377359e-01 9.895478940357585e-01
3.584905660377359e-01 9.895229891109859e-01
3.602288880644656e-01 9.891360667198316e-01
3.630415521871068e-01 9.881535794280167e-01
3.647798742138365e-01 9.874076624993734e-01
3.647798742138365e-01 9.874382276526055e-01
3.665181962405662e-01 9.867578300544495e-01
3.693308603632074e-01 9.865076439843282e-01
3.710691823899371e-01 9.868789936517035e-01
3.710691823899371e-01 9.868620322397331e-01
3.728075044166668e-01 9.874976018831988e-01
3.756201685393081e-01 9.884129496315048e-01
3.773584905660378e-01 9.886858621065334e-01
3.773584905660378e-01 9.886895304698796e-01
3.790968125927675e-01 9.886656088240706e-01
3.819094767154087e-01 9.883431577108150e-01
3.836477987421384e-01 9.882482544843503e-01
3.836477987421384e-01 9.882437981435407e-01
3.853861207688681e-01 9.883924430701768e-01
3.881987848915093e-01 9.889841209168198e-01
3.899371069182390e-01 9.894178749541646e-01
3.899371069182390e-01 9.894301245897044e-01
3.916754289449687e-01 9.898458805023646e-01
3.944880930676100e-01 9.907245830805924e-01
3.962264150943396e-01 9.914271317585609e-01
3.962264150943396e-01 9.914143281666904e-01
3.979647371210693e-01 9.921969030457971e-01
4.007774012437106e-01 9.932862218399380e-01
4.025157232704403e-01 9.938014956404094e-01
4.025157232704403e-01 9.938017112346426e-01
4.042540452971700e-01 9.942259084470678e-01
4.070667094198112e-01 9.948651559829970e-01
4.088050314465409e-01 9.953147091277758e-01
4.088050314465409e-01 9.953349103546743e-01
4.105433534732706e-01 9.958805398359559e-01
4.133560175959118e-01 9.973177841196418e-01
4.150943396226415e-01 9.985293969376916e-01
4.150943396226415e-01 9.985059740512023e-01
4.168326616493712e-01 9.998433521799186e-01
4.196453257720125e-01 1.001351330859221e+00
4.213836477987422e-01 1.001504195286949e+00
4.213836477987422e-01 1.001516506668309e+00
4.231219698254718e-01 1.000938721785779e+00
4.259346339481131e-01 9.990261798858017e-01
4.276729559748428e-01 9.975810397239413e-01
4.276729559748428e-01 9.975671128485212e-01
4.294112780015725e-01 9.960886462154669e-01
4.322239421242137e-01 9.933544294368724e-01
4.339622641509434e-01 9.913828479627018e-01
4.339622641509434e-01 9.913925734266660e-01
4.357005861776731e-01 9.892392484349386e-01
4.385132503003144e-01 9.858757697009630e-01
4.402515723270440e-01 9.841123020126505e-01
4.402515723270440e-01 9.841071463672063e-01
4.419898943537737e-01 9.827097687557224e-01
4.448025584764150e-01 9.811938698813988e-01
4.465408805031447e-01 9.807340081355269e-01
4.465408805031447e-01 9.807511640706676e-01
4.482792025298744e-01 9.806915026741145e-01
4.510918666525156e-01 9.817612610354556e-01
4.528301886792453e-01 9.831305581602949e-01
4.528301886792453e-01 9.831195459087216e-01
4.545685107059750e-01 9.849277080089088e-01
4.573811748286162e-01 9.881787965106719e-01
4.591194968553459e-01 9.901078900719728e-01
4.591194968553459e-01 9.901078645944712e-01
4.608578188820756e-01 9.918346789270519e-01
4.636704830047169e-01 9.942314785865238e-01
4.654088050314465e-01 9.955547355768479e-01
4.654088050314465e-01 9.955607694048220e-01
4.671471270581762e-01 9.968079932652208e-01
4.699597911808175e-01 9.985773690269267e-01
4.716981132075472e-01 9.993122704153606e-01
4.716981132075472e-01 9.992898138650107e-01
4.734364352342769e-01 9.995966733257327e-01
4.762490993569181e-01 9.989163245611872e-01
4.779874213836478e-01 9.979768397216459e-01
4.779874213836478e-01 9.979984673723581e-01
4.797257434103775e-01 9.969062586404797e-01
4.825384075330187e-01 9.954451107280425e-01
4.842767295597484e-01 9.947731457003671e-01
4.842767295597484e-01 9.947643314436828e-01
4.860150515864781e-01 9.942127879276859e-01
