# Input file for fr-burgers-turbulent.py program
N                  160 # Number of mesh points
NREF                 0 # Number of refinement levels of the mesh
P                    3 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.000080 # Viscosity
INISOL       TURBULENT # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000050 # Time step
TSIM          0.500000 # Maximum number of iterations
NDUMP               10 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                   FALSE

BEGIN_SOLUTION
4.105433534732706e-01 9.968977088499127e-01
4.133560175959118e-01 9.964298661541986e-01
4.150943396226415e-01 9.961016861325644e-01
4.150943396226415e-01 9.961015631408533e-01
4.168326616493712e-01 9.957480511969631e-01
4.196453257720125e-01 9.951284228788979e-01
4.213836477987422e-01 9.947205428587539e-01
4.213836477987422e-01 9.947202500614749e-01
4.231219698254718e-01 9.942979215681769e-01
4.259346339481131e-01 9.935971259172831e-01
4.276729559748428e-01 9.931665657143184e-01
4.276729559748428e-01 9.931670759598014e-01
4.294112780015725e-01 9.927497517065939e-01
4.322239421242137e-01 9.921324963707504e-01
4.339622641509434e-01 9.917997513649567e-01
4.339622641509434e-01 9.918002351469036e-01
4.357005861776731e-01 9.915111056353250e-01
4.385132503003144e-01 9.911391839328086e-01
4.402515723270440e-01 9.909617595477882e-01
4.402515723270440e-01 9.909612212130727e-01
4.419898943537737e-01 9.908167903380896e-01
4.448025584764150e-01 9.906316148746703e-01
4.465408805031447e-01 9.905402694426557e-01
4.465408805031447e-01 9.905400123778472e-01
4.482792025298744e-01 9.904644404837581e-01
4.510918666525156e-01 9.903825237240367e-01
4.528301886792453e-01 9.903672549677957e-01
4.528301886792453e-01 9.903679221154383e-01
4.545685107059750e-01 9.903880608085602e-01
4.573811748286162e-01 9.905158432823060e-01
4.591194968553459e-01 9.906572533850521e-01
4.591194968553459e-01 9.906574523938649e-01
4.608578188820756e-01 9.908454428149726e-01
4.636704830047169e-01 9.912347685477018e-01
4.654088050314465e-01 9.915146831696982e-01
4.654088050314465e-01 9.915142703707415e-01
4.671471270581762e-01 9.918136661205258e-01
4.699597911808175e-01 9.923163374076941e-01
4.716981132075472e-01 9.926298843049471e-01
4.716981132075472e-01 9.926299170028861e-01
4.734364352342769e-01 9.929414231021899e-01
